Title,Description
Κυριάκος Μητσοτάκης: Δήλωση μετά την άσκηση του εκλογικού δικαιώματος,"Κυριάκος Μητσοτάκης: Δήλωση μετά την άσκηση του εκλογικού δικαιώματος

Σήμερα είναι η μεγάλη γιορτή της Αυτοδιοίκησης. Ψηφίζουμε για Δημάρχους, ψηφίζουμε για Περιφερειάρχες, ψηφίζουμε για μία καλύτερη καθημερινότητα, για ποιοτικές υπηρεσίες πρόνοιας, υγείας, για αναπτυξιακή δυναμική.

Καλή ψήφο και καλή επιτυχία σε όλους τους υποψηφίους."
Κυριάκος Μητσοτάκης: Στην 3η Σύνοδο της Ευρωπαϊκής Πολιτικής Κοινότητας στη Γρανάδα,Κυριάκος Μητσοτάκης: Στην 3η Σύνοδο της Ευρωπαϊκής Πολιτικής Κοινότητας στη Γρανάδα
Κυριάκος Μητσοτάκης: Συγκέντρωση του νυν και υποψήφιου Περιφερειάρχη Δυτικής Μακεδονίας Γ.Κασαπίδη,Κυριάκος Μητσοτάκης: Συγκέντρωση του νυν και υποψήφιου Περιφερειάρχη Δυτικής Μακεδονίας Γ.Κασαπίδη
Κυριάκος Μητσοτάκης: Στον Βύρωνα με τον Νίκο Χαρδαλιά,"Κυριάκος Μητσοτάκης: Στον Βύρωνα με τον Νίκο Χαρδαλιά

Με τον Νίκο Χαρδαλιά έχουμε συνεργαστεί σε μια σειρά από εξαιρετικά κρίσιμες αποστολές. 

Πρόκειται για έναν άνθρωπο ικανότατο, με διάθεση και τσαγανό να βγει μπροστά, να αναλάβει δύσκολες αποστολές.

Είμαστε δίπλα του και είμαι βέβαιος ότι θα είναι ο επόμενος Περιφερειάρχης Αττικής."
Leaders' remarks at the EUMED 9 summit in Malta,Leaders' remarks at the EUMED-9 summit in Malta
"Πυξίδες μας είναι οι προγραμματικές μας δηλώσεις, αλλά και ο οδικός χάρτης για το 2024","Πυξίδες μας είναι οι προγραμματικές μας δηλώσεις, αλλά και ο οδικός χάρτης για το 2024

Πυξίδες μας είναι οι προγραμματικές μας δηλώσεις, αλλά και ο οδικός χάρτης για το 2024. Ένα σχέδιο που κινείται σε δύο επίπεδα: πρώτο, αυτό της ανάσχεσης της ακρίβειας, με πάγιες αυξήσεις, αλλά και με στοχευμένες κινήσεις υπέρ των πιο ευάλωτων. Δεύτερο, με ορίζοντα τετραετίας, εκείνο της υπέρβασης των μεγάλων παθογενειών του κράτους, με μεταρρυθμίσεις."
Κυριάκος Μητσοτάκης: Εισαγωγική μου τοποθέτηση στη συνεδρίαση του Υπουργικού Συμβουλίου,Κυριάκος Μητσοτάκης: Εισαγωγική μου τοποθέτηση στη συνεδρίαση του Υπουργικού Συμβουλίου
Κυριάκος Μητσοτάκης: Στην 78η Σύνοδο της Γενικής Συνέλευσης του ΟΗΕ,"Κυριάκος Μητσοτάκης: Στην 78η Σύνοδο της Γενικής Συνέλευσης του ΟΗΕ

Η 78η Σύνοδος της ΓΣ του ΟΗΕ ήταν μια ευκαιρία να συζητήσουμε τις μεγάλες προκλήσεις της παγκόσμιας κοινότητας, όπως η κλιματική αλλαγή και το μεταναστευτικό. Αλλά και μια ευκαιρία να αναδείξουμε τις ελληνικές θέσεις και να ενισχύσουμε περαιτέρω τους δεσμούς μας με την ομογένεια."
Κυριάκος Μητσοτάκης: Δημιουργία μιας «παγκόσμιας συμμαχίας για την προσαρμογή» στην κλιματική αλλαγή,Κυριάκος Μητσοτάκης: Δημιουργία μιας «παγκόσμιας συμμαχίας για την προσαρμογή» στην κλιματική αλλαγή
Prime Minister Kyriakos Mitsotakis' speech at the 78th Session of the UN General Assembly,Prime Minister Kyriakos Mitsotakis' speech at the 78th Session of the UN General Assembly
Κυριάκος Μητσοτάκης: Ελλάδα και Κύπρος βρισκόμαστε σε απόλυτο συντονισμό για το Κυπριακό ζήτημα,"Κυριάκος Μητσοτάκης: Ελλάδα και Κύπρος βρισκόμαστε σε απόλυτο συντονισμό για το Κυπριακό ζήτημα

Στο περιθώριο της Γενικής Συνέλευσης του ΟΗΕ είχα την ευκαιρία να συναντήσω τον Πρόεδρο της Κυπριακής Δημοκρατίας Νίκο Χριστοδουλίδη. Ελλάδα και Κύπρος βρισκόμαστε σε απόλυτο συντονισμό για το Κυπριακό ζήτημα."
Κυριάκος Μητσοτάκης: Συνέντευξη Τύπου στην 87η ΔΕΘ,"Κυριάκος Μητσοτάκης: Συνέντευξη Τύπου στην 87η ΔΕΘ

Η δομική απάντηση στο πρόβλημα της ακρίβειας στηρίζεται σε δύο πυλώνες. Στη σταθερή και μόνιμη αύξηση του διαθέσιμου εισοδήματος όλων των συμπολιτών μας. Και βέβαια στη λειτουργία της αγοράς και την αντιμετώπιση της αισχροκέρδειας."
