Month,KKE_DKoutsoumpas,ND_KMitsotakis,NA-AHaritsis,SYRIZA-SKasselakis,PASOK-NAndroulakis,Plefsi-ZKonstantopoulou,EllinikiLysi-KVelopoulos,Spartiates-VStigas,NIKI-DNatsios
2020-02-29 00:00:00+00:00,4.0,2,12.0,,2.0,,45.0,0.0,
2020-03-31 00:00:00+00:00,2.0,0,15.0,,2.0,,51.0,0.0,
2020-04-30 00:00:00+00:00,4.0,0,10.0,,0.0,,35.0,0.0,
2020-05-31 00:00:00+00:00,0.0,0,9.0,,1.0,,34.0,0.0,
2020-06-30 00:00:00+00:00,3.0,0,13.0,,1.0,,23.0,0.0,
2020-07-31 00:00:00+00:00,2.0,0,11.0,,1.0,,39.0,0.0,
2020-08-31 00:00:00+00:00,0.0,0,0.0,,1.0,,8.0,0.0,
2020-09-30 00:00:00+00:00,1.0,0,0.0,,2.0,,31.0,0.0,
2020-10-31 00:00:00+00:00,1.0,0,1.0,,4.0,,27.0,0.0,
2020-11-30 00:00:00+00:00,0.0,0,1.0,,3.0,,17.0,0.0,
2020-12-31 00:00:00+00:00,1.0,0,1.0,,4.0,,19.0,0.0,
2021-01-31 00:00:00+00:00,1.0,0,1.0,,0.0,,23.0,0.0,
2021-02-28 00:00:00+00:00,2.0,0,0.0,,1.0,,18.0,0.0,
2021-03-31 00:00:00+00:00,3.0,0,0.0,,1.0,,21.0,0.0,
2021-04-30 00:00:00+00:00,8.0,0,1.0,,1.0,,19.0,0.0,
2021-05-31 00:00:00+00:00,2.0,0,2.0,,1.0,,19.0,0.0,
2021-06-30 00:00:00+00:00,2.0,0,3.0,,2.0,,17.0,0.0,
2021-07-31 00:00:00+00:00,0.0,0,10.0,,1.0,,24.0,0.0,
2021-08-31 00:00:00+00:00,0.0,0,4.0,,0.0,,7.0,0.0,
2021-09-30 00:00:00+00:00,1.0,0,22.0,,0.0,1.0,16.0,0.0,
2021-10-31 00:00:00+00:00,1.0,0,9.0,,1.0,0.0,14.0,0.0,
2021-11-30 00:00:00+00:00,8.0,0,10.0,,2.0,0.0,18.0,0.0,
2021-12-31 00:00:00+00:00,1.0,0,13.0,,14.0,0.0,13.0,0.0,
2022-01-31 00:00:00+00:00,1.0,0,7.0,,2.0,0.0,11.0,0.0,11.0
2022-02-28 00:00:00+00:00,0.0,0,15.0,,6.0,0.0,11.0,0.0,0.0
2022-03-31 00:00:00+00:00,4.0,0,7.0,,1.0,0.0,13.0,0.0,1.0
2022-04-30 00:00:00+00:00,1.0,1,7.0,,4.0,0.0,10.0,0.0,2.0
2022-05-31 00:00:00+00:00,8.0,0,14.0,,6.0,0.0,23.0,0.0,4.0
2022-06-30 00:00:00+00:00,0.0,0,12.0,,5.0,0.0,12.0,0.0,5.0
2022-07-31 00:00:00+00:00,0.0,0,8.0,,2.0,0.0,18.0,0.0,1.0
2022-08-31 00:00:00+00:00,0.0,9,2.0,,2.0,0.0,10.0,0.0,1.0
2022-09-30 00:00:00+00:00,1.0,15,15.0,,3.0,0.0,13.0,0.0,0.0
2022-10-31 00:00:00+00:00,0.0,9,10.0,,1.0,0.0,13.0,0.0,1.0
2022-11-30 00:00:00+00:00,2.0,2,14.0,,4.0,0.0,10.0,0.0,0.0
2022-12-31 00:00:00+00:00,2.0,11,14.0,,4.0,0.0,13.0,0.0,3.0
2023-01-31 00:00:00+00:00,1.0,3,12.0,,1.0,0.0,9.0,0.0,2.0
2023-02-28 00:00:00+00:00,2.0,0,15.0,,6.0,0.0,20.0,0.0,1.0
2023-03-31 00:00:00+00:00,3.0,0,15.0,,12.0,139.0,38.0,0.0,0.0
2023-04-30 00:00:00+00:00,5.0,13,19.0,,18.0,127.0,27.0,0.0,8.0
2023-05-31 00:00:00+00:00,23.0,26,28.0,,38.0,53.0,55.0,0.0,31.0
2023-06-30 00:00:00+00:00,17.0,26,19.0,,43.0,38.0,42.0,0.0,11.0
2023-07-31 00:00:00+00:00,1.0,22,5.0,,11.0,71.0,22.0,0.0,18.0
2023-08-31 00:00:00+00:00,0.0,9,0.0,14.0,2.0,13.0,9.0,0.0,8.0
2023-09-30 00:00:00+00:00,0.0,23,13.0,17.0,9.0,102.0,58.0,46.0,36.0
2023-10-31 00:00:00+00:00,3.0,29,1.0,12.0,11.0,73.0,21.0,64.0,29.0
2023-11-30 00:00:00+00:00,0.0,11,11.0,10.0,15.0,106.0,27.0,86.0,56.0
2023-12-31 00:00:00+00:00,1.0,17,17.0,11.0,17.0,45.0,23.0,92.0,56.0
2024-01-31 00:00:00+00:00,,17,19.0,4.0,7.0,,48.0,74.0,40.0
