Title,Description
"Ο Βουλευτής Α' Ανατολικής Αττικής, Ι. Δημητροκάλλης, στην Διαρκή Επιτροπή Παραγωγής και Εμπορίου",16/11/2023
"Ομιλία Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, για την ψήφιση Σχεδίου Προϋπολογισμού Δαπανών Βουλής",16/11/2023
"Ομιλία του Βουλευτή Β' Πειραιώς, Α. Ζερβέα, για τη σύσταση Εξεταστικής για την τραγωδία των Τεμπών",15/11/2023
"Ο Πρόεδρος των «ΣΠΑΡΤΙΑΤΩΝ», Βασίλης Στίγκας, στην εκπομπή «Καμπάνες» της ΒΕΡΓΙΝΑΣ ΤΗΛΕΟΡΑΣΗΣ",15/11/2023
"Επίσκεψη Βουλευτή Ηρακλείου «ΣΠΑΡΤΙΑΤΩΝ», Μιχαήλ Γαυγιωτάκη, στον 1ο Πυροσβεστικό Σταθμό Ηρακλείου",14/11/2023
"Ομιλία Προέδρου «ΣΠΑΡΤΙΑΤΩΝ», Β. Στίγκα, στη Βουλή για σύσταση Εξεταστικής για τραγωδία των Τεμπών",15/11/2023
"Ο Βουλευτής Β' Θεσσαλονίκης, Π. Δημητριάδης στο κεντρικό δελτίο ειδήσεων της ΒΕΡΓΙΝΑΣ ΤΗΛΕΟΡΑΣΗΣ",14/11/2023
"Ο Βουλευτής Β' Θεσσαλονίκης, Π. Δημητριάδης, για σύσταση Εξεταστικής για την τραγωδία των Τεμπών",15/11/2023
"Δευτερολογία του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στην Επιτροπή Δημόσιας Διοίκησης",14/11/2023
"Τοποθέτηση του Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στην Επιτροπή Δημόσιας Διοίκησης",14/11/2023
"Επίσκεψη του Πρόεδρου της Κ.Ο. των «ΣΠΑΡΤΙΑΤΩΝ», Βασίλη Στίγκα, στο Αστυνομικό Τμήμα Ασπροπύργου",11/11/2023
"Ο Πρόεδρος των «ΣΠΑΡΤΙΑΤΩΝ», Β. Στίγκας στο Metropolis 95.5 στην «Παρέμβαση» με τον Κ. Παπαζαφειρίου",11/11/2023
"Επίκαιρη Ερώτηση του Βουλευτή Ηρακλείου, Μιχαήλ Γαυγιωτάκη, στον Υφυπουργό Υγείας, Μ. Θεμιστοκλέους",13/11/2023
"Ομιλία Βουλευτή Α' Θεσσαλονίκης, Ιωάννη Κόντη, στην Διαρκή Επιτροπή Δημόσιας Διοίκησης & Δικαιοσύνης",10/11/2023
"Ομιλία Βουλευτή Β' Θεσσαλονίκης, Πέτρου Δημητριάδη, στην Επιτροπή Δημόσιας Διοίκησης & Δικαιοσύνης",10/11/2023
"Ομιλία του Βουλευτή Α' Ανατολικής Αττικής, Ιωάννη Δημητροκάλλη, για το Σ/Ν του Υπουργείου Ανάπτυξης",09/11/2023
"Τοποθέτηση του Βουλευτή Α΄ Α. Αττικής, Ι. Δημητροκάλλη για την άρση ασυλίας των μελών της Κ.Ο. μας",09/11/2023
"Τοποθέτηση του Βουλευτή Ηρακλείου, Μιχαήλ Γαυγιωτάκη, για την άρση ασυλίας μελών της Κ.Ο. μας",09/11/2023
"Τοποθέτηση Βουλευτή Β2' Δυτικού Τομέα Αθηνών, Γ. Μανούσου, για την άρση ασυλίας μελών της Κ.Ο. μας",09/11/2023
"Ομιλία του Βουλευτή Αιτωλοακαρνανίας, Δ. Βαλτογιάννη, για το αίτημα άρσης ασυλίας μελών της Κ.Ο. μας",09/11/2023
"Τοποθέτηση του Βουλευτή Αχαΐας, Γεώργιου Ασπιώτη, για την άρση ασυλίας των μελών της Κ.Ο. ΣΠΑΡΤΙΑΤΕΣ",09/11/2023
"Τοποθέτηση του Βουλευτή Α' Θεσσαλονίκης, Ι. Κόντη, για την άρση ασυλίας των μελών της Κ.Ο. μας",09/11/2023
"Ομιλία του Βουλευτή Β' Θεσσαλονίκης, Π. Δημητριάδη για την πολιτική δίωξη πίσω από την άρση ασυλίας",09/11/2023
"Τοποθέτηση του Βουλευτή, Β1' Β. Τομέα Αθηνών, Χ. Κατσιβαρδά, για την κακοστημένη πολιτική σκευωρία",09/11/2023
"Ομιλία του Βουλευτή Β' Πειραιώς, Αλέξανδρου Ζερβέα για την πολιτική δίωξη εις βάρος των «ΣΠΑΡΤΙΑΤΩΝ»",09/11/2023
"Ομιλία Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, για τη σκευωρία κατά της Κ.Ο. των «ΣΠΑΡΤΙΑΤΩΝ»",09/11/2023
"Ομιλία-καταπέλτης του Προέδρου, Β. Στίγκα, για διαχρονική εξαπάτηση εκλογέων από τα κόμματα εξουσίας",09/11/2023
"Ομιλία του Βουλευτή Β' Πειραιώς, Αλέξανδρου Ζερβέα, στην Επιτροπή Ευρωπαϊκών Υποθέσεων",08/11/2023
"Ο Πρόεδρος των «ΣΠΑΡΤΙΑΤΩΝ», Βασίλειος Στίγκας, στην Εορτή του Προστάτη της Πολεμικής Αεροπορίας",08/11/2023
"Ο Βουλευτής Α΄ Ανατολικής Αττικής, Ιωάννης Δημητροκάλλης, στην Επιτροπή Παραγωγής και Εμπορίου",07/11/2023
"Τοποθέτηση του Βουλευτή Α΄ Ανατολικής Αττικής, Ι. Δημητροκάλλη, στην Επιτροπή Παραγωγής και Εμπορίου",07/11/2023
"Ο Βουλευτής Α' Θεσσαλονίκης, Ιωάννης Κόντης, στην τηλεοπτική εκπομπή «Τι λέει ο Νόμος» ΒΟΥΛΗ TV",02/11/2023
"Δευτερολογία του Βουλευτή Α' Αθηνών, Α. Χαλκιά, στην Επιτροπή του Απολογισμού & Γενικού Ισολογισμού",07/11/2023
"Ο Βουλευτής Α' Αθηνών, Αθανάσιος Χαλκιάς, στην Επιτροπή του Απολογισμού και του Γενικού Ισολογισμού",07/11/2023
"Επίκαιρη Ερώτηση του Βουλευτή Α' Αθηνών, Αθανάσιου Χαλκιά, στον Υπουργό Προστασίας του Πολίτη",06/11/2023
